row,part_number,column,value,method,confidence,rule_id,evidence_source,evidence_text,detail
2,DCG420B,Part_Manuf,Black & Decker/dewlt (2585),input,0.99,,,,Preserved verbatim from the source file.
2,DCG420B,SKU - MY_PART_NUMBER,X79255,input,0.99,,,,Preserved verbatim from the source file.
2,DCG420B,MANUFACTURER_PART_NUMBER,DCG420B,input,0.99,IDN-MPN-01,input:Mfg_Part_Num,DCG420B,Supplied part number.
2,DCG420B,BRAND_NAME,DEWALT®,registry,0.88,IDN-BRD-01,input:Part_Desc,DEWALT,Approved brand 'DEWALT' found in the description.
2,DCG420B,MANUFACTURER_NAME,Stanley Black & Decker,registry,0.8624,IDN-MFR-01,input:Part_Desc,DEWALT,Approved brand 'DEWALT' found in the description.
2,DCG420B,Classpath,Tools & Equipment>Power Tools>Grinders,rule,0.9,TAX-030,input:Part_Desc,Die Grinder,Matched taxonomy rule TAX-030 on 'Die Grinder'.
2,DCG420B,Dept,Tools,rule,0.9,TAX-030,input:Part_Desc,Die Grinder,Matched taxonomy rule TAX-030 on 'Die Grinder'.
2,DCG420B,Class,Power Tools,rule,0.9,TAX-030,input:Part_Desc,Die Grinder,Matched taxonomy rule TAX-030 on 'Die Grinder'.
2,DCG420B,Fine,Grinders,rule,0.9,TAX-030,input:Part_Desc,Die Grinder,Matched taxonomy rule TAX-030 on 'Die Grinder'.
2,DCG420B,INVOICE_DESC,DIE GRINDER 20V,compose,0.9,,,,Budget solver fitted 2 facts into 15/40 characters.
2,DCG420B,MOBILE_DESC,"Stanley Black & Decker DEWALT, Die Grinder, DCG420B, 20 V",compose,0.88,,,,"Only 57 characters: every available fact is already in the line, so the shortfall is a limit of the source data, not of composition."
2,DCG420B,SHORT_DESC,"DEWALT® DCG420B Die Grinder, 20 V",compose,0.88,,,,Title formula: brand + series + model + item type + differentiators.
2,DCG420B,RETAIL_DESC,"Die Grinder, 20 V",compose,0.85,,,,Shelf line: series + item type + differentiators.
2,DCG420B,LONG_DESC1,"DEWALT® Die Grinder, 20 V",compose,0.85,,,,Every captured attribute rendered in specification order.
2,DCG420B,Product Name,Die Grinder,rule,0.8377,ITM-LEX-01,input:Part_Desc,die grinder,Resolved against the item-type vocabulary induced from this catalogue (1 occurrences).
2,DCG420B,ATTRIBUTE_LABEL 1,Voltage Rating,rule,0.92,ELE-V-01,input:Part_Desc,20V,Voltage token; dual ratings kept as '12/20'.
2,DCG420B,ATTRIBUTE_VALUE 1,20,rule,0.92,ELE-V-01,input:Part_Desc,20V,Voltage token; dual ratings kept as '12/20'.
2,DCG420B,ATTRIBUTE_UOM 1,V,rule,0.92,ELE-V-01,input:Part_Desc,20V,Voltage token; dual ratings kept as '12/20'.
2,DCG420B,ATTRIBUTE_LABEL 2,Battery Included,rule,0.92,TOL-BAR-01,input:Part_Desc,(Bare),Marked bare / tool-only.
2,DCG420B,ATTRIBUTE_VALUE 2,No,rule,0.92,TOL-BAR-01,input:Part_Desc,(Bare),Marked bare / tool-only.
2,DCG420B,UNSPSC,27112000,inferred,0.72,TAX-030,registry:taxonomy,27112000,UNSPSC family for classpath Tools & Equipment>Power Tools>Grinders.
3,571513,Mfg_Part_Num,571513,input,0.99,,,,Preserved verbatim from the source file.
3,571513,Part_Desc,571513 40/60/100 Led Med 27k,input,0.99,,,,Preserved verbatim from the source file.
3,571513,Part_Manuf,Phillips Lighting (5831),input,0.99,,,,Preserved verbatim from the source file.
3,571513,SKU - MY_PART_NUMBER,X17805,input,0.99,,,,Preserved verbatim from the source file.
3,571513,MANUFACTURER_PART_NUMBER,571513,input,0.99,IDN-MPN-01,input:Mfg_Part_Num,571513,Supplied part number.
3,571513,BRAND_NAME,Philips®,registry,0.9,IDN-BRD-01,input:Part_Manuf,Phillips Lighting (5831),Supplier string normalised to the approved manufacturer.
3,571513,MANUFACTURER_NAME,Signify Holding,registry,0.882,IDN-MFR-01,input:Part_Manuf,Phillips Lighting (5831),Supplier string normalised to the approved manufacturer.
3,571513,Classpath,Electrical>Lighting & Bulbs>Light Bulbs,family,0.75,FAM-CON-01,family:F-25f1ce9c,Electrical>Lighting & Bulbs>Light Bulbs,Inherited from family consensus: 3 of 4 siblings independently produced this value and none contradicted it.
3,571513,Dept,Electrical,family,0.75,FAM-CON-01,family:F-25f1ce9c,Electrical,Inherited from family consensus: 3 of 4 siblings independently produced this value and none contradicted it.
3,571513,Class,Lighting,family,0.75,FAM-CON-01,family:F-25f1ce9c,Lighting,Inherited from family consensus: 3 of 4 siblings independently produced this value and none contradicted it.
3,571513,Fine,Light Bulbs,family,0.75,FAM-CON-01,family:F-25f1ce9c,Light Bulbs,Inherited from family consensus: 3 of 4 siblings independently produced this value and none contradicted it.
3,571513,INVOICE_DESC,BULB 2700K MED LED,compose,0.9,,,,Budget solver fitted 4 facts into 18/40 characters.
3,571513,MOBILE_DESC,"Signify Holding Philips, Light Bulb, 571513, 2700 K, LED, Medium Base",compose,0.88,,,,Identity line sized into the 60-80 character window.
3,571513,SHORT_DESC,"Philips® 571513 Light Bulb, 2700 K, LED, Medium Base",compose,0.88,,,,Title formula: brand + series + model + item type + differentiators.
3,571513,RETAIL_DESC,"Light Bulb, 2700 K, LED, Medium Base",compose,0.85,,,,Shelf line: series + item type + differentiators.
3,571513,LONG_DESC1,"Philips® Light Bulb, 2700 K, LED, Medium Base",compose,0.85,,,,Every captured attribute rendered in specification order.
3,571513,Product Name,Light Bulb,family,0.75,FAM-CON-01,family:F-25f1ce9c,Light Bulb,Inherited from family consensus: 3 of 4 siblings independently produced this value and none contradicted it.
3,571513,ATTRIBUTE_LABEL 1,Color Temperature,rule,0.92,LMP-K-01,input:Part_Desc,27k,Lamp shorthand: two-digit K value means hundreds (50k = 5000 K).
3,571513,ATTRIBUTE_VALUE 1,2700,rule,0.92,LMP-K-01,input:Part_Desc,27k,Lamp shorthand: two-digit K value means hundreds (50k = 5000 K).
3,571513,ATTRIBUTE_UOM 1,K,rule,0.92,LMP-K-01,input:Part_Desc,27k,Lamp shorthand: two-digit K value means hundreds (50k = 5000 K).
3,571513,ATTRIBUTE_LABEL 2,Lamp Type,rule,0.9,LMP-TEC-01,input:Part_Desc,Led,Lamp technology captured as an attribute rather than an item type.
3,571513,ATTRIBUTE_VALUE 2,LED,rule,0.9,LMP-TEC-01,input:Part_Desc,Led,Lamp technology captured as an attribute rather than an item type.
3,571513,ATTRIBUTE_LABEL 3,Base Type,rule,0.92,LMP-BAS-01,input:Part_Desc,Med,Lamp base designation.
3,571513,ATTRIBUTE_VALUE 3,Medium Base,rule,0.92,LMP-BAS-01,input:Part_Desc,Med,Lamp base designation.
3,571513,UNSPSC,39101600,family,0.75,FAM-CON-01,family:F-25f1ce9c,39101600,Inherited from family consensus: 3 of 4 siblings independently produced this value and none contradicted it.
4,3052-20,Mfg_Part_Num,3052-20,input,0.99,,,,Preserved verbatim from the source file.
4,3052-20,Part_Desc,"3052-20 Milw M12 Fuel 1/4"" Rachet",input,0.99,,,,Preserved verbatim from the source file.
4,3052-20,Part_Manuf,Milwaukee Accessory (4031),input,0.99,,,,Preserved verbatim from the source file.
4,3052-20,SKU - MY_PART_NUMBER,X34930,input,0.99,,,,Preserved verbatim from the source file.
4,3052-20,MANUFACTURER_PART_NUMBER,3052-20,input,0.99,IDN-MPN-01,input:Mfg_Part_Num,3052-20,Supplied part number.
4,3052-20,BRAND_NAME,Milwaukee®,registry,0.88,IDN-BRD-01,input:Part_Desc,milw,Approved brand 'milw' found in the description.
4,3052-20,MANUFACTURER_NAME,Milwaukee Tool,registry,0.8624,IDN-MFR-01,input:Part_Desc,milw,Approved brand 'milw' found in the description.
4,3052-20,Classpath,Tools & Equipment>Hand Tools>Ratchets,rule,0.9,TAX-065,input:Part_Desc,Fuel Rachet,Matched taxonomy rule TAX-065 on 'Rachet'.
4,3052-20,Dept,Tools,rule,0.9,TAX-065,input:Part_Desc,Fuel Rachet,Matched taxonomy rule TAX-065 on 'Rachet'.
4,3052-20,Class,Hand Tools,rule,0.9,TAX-065,input:Part_Desc,Fuel Rachet,Matched taxonomy rule TAX-065 on 'Rachet'.
4,3052-20,Fine,Ratchets,rule,0.9,TAX-065,input:Part_Desc,Fuel Rachet,Matched taxonomy rule TAX-065 on 'Rachet'.
4,3052-20,INVOICE_DESC,FUEL RACHET 1/4IN M12,compose,0.9,,,,Budget solver fitted 3 facts into 21/40 characters.
4,3052-20,MOBILE_DESC,"Milwaukee Tool Milwaukee, Fuel Rachet, 3052-20, 1/4 in, M12",compose,0.88,,,,"Only 59 characters: every available fact is already in the line, so the shortfall is a limit of the source data, not of composition."
4,3052-20,SHORT_DESC,"Milwaukee® 3052-20 Fuel Rachet, 1/4 in, M12",compose,0.88,,,,Title formula: brand + series + model + item type + differentiators.
4,3052-20,RETAIL_DESC,"Fuel Rachet, 1/4 in, M12",compose,0.85,,,,Shelf line: series + item type + differentiators.
4,3052-20,LONG_DESC1,"Milwaukee® Fuel Rachet, 1/4 in, M12",compose,0.85,,,,Every captured attribute rendered in specification order.
4,3052-20,Product Name,Fuel Rachet,rule,0.55,ITM-LEX-01,input:Part_Desc,fuel rachet,Resolved against the item-type vocabulary induced from this catalogue (0 occurrences).
4,3052-20,ATTRIBUTE_LABEL 1,Size,rule,0.92,DIM-SGL-01,input:Part_Desc,"1/4""",Single stated dimension (nominal size of the item).
4,3052-20,ATTRIBUTE_VALUE 1,1/4,rule,0.92,DIM-SGL-01,input:Part_Desc,"1/4""",Single stated dimension (nominal size of the item).
4,3052-20,ATTRIBUTE_UOM 1,in,rule,0.92,DIM-SGL-01,input:Part_Desc,"1/4""",Single stated dimension (nominal size of the item).
4,3052-20,ATTRIBUTE_LABEL 2,Battery Platform,rule,0.92,TOL-PLT-01,input:Part_Desc,M12,Cordless battery platform; drives accessory compatibility.
4,3052-20,ATTRIBUTE_VALUE 2,M12,rule,0.92,TOL-PLT-01,input:Part_Desc,M12,Cordless battery platform; drives accessory compatibility.
4,3052-20,UNSPSC,27111700,inferred,0.72,TAX-065,registry:taxonomy,27111700,UNSPSC family for classpath Tools & Equipment>Hand Tools>Ratchets.
5,XRJ08Z,Mfg_Part_Num,XRJ08Z,input,0.99,,,,Preserved verbatim from the source file.
5,XRJ08Z,Part_Desc,XRJ08Z Makita 18V Recip Saw - Bare Tool,input,0.99,,,,Preserved verbatim from the source file.
5,XRJ08Z,Part_Manuf,Makita Usa Inc (5142),input,0.99,,,,Preserved verbatim from the source file.
5,XRJ08Z,SKU - MY_PART_NUMBER,X41711,input,0.99,,,,Preserved verbatim from the source file.
5,XRJ08Z,MANUFACTURER_PART_NUMBER,XRJ08Z,input,0.99,IDN-MPN-01,input:Mfg_Part_Num,XRJ08Z,Supplied part number.
5,XRJ08Z,BRAND_NAME,Makita®,registry,0.88,IDN-BRD-01,input:Part_Desc,Makita,Approved brand 'Makita' found in the description.
5,XRJ08Z,MANUFACTURER_NAME,"Makita U.S.A., Inc.",registry,0.8624,IDN-MFR-01,input:Part_Desc,Makita,Approved brand 'Makita' found in the description.
5,XRJ08Z,Classpath,Tools & Equipment>Power Tools>Saws,rule,0.9,TAX-104,input:Part_Desc,Recip Saw,Matched taxonomy rule TAX-104 on 'Saw'.
5,XRJ08Z,Dept,Tools,rule,0.9,TAX-104,input:Part_Desc,Recip Saw,Matched taxonomy rule TAX-104 on 'Saw'.
5,XRJ08Z,Class,Power Tools,rule,0.9,TAX-104,input:Part_Desc,Recip Saw,Matched taxonomy rule TAX-104 on 'Saw'.
5,XRJ08Z,Fine,Saws,rule,0.9,TAX-104,input:Part_Desc,Recip Saw,Matched taxonomy rule TAX-104 on 'Saw'.
5,XRJ08Z,INVOICE_DESC,RECIP SAW 18V 18V BARE TOOL,compose,0.9,,,,Budget solver fitted 4 facts into 27/40 characters.
5,XRJ08Z,MOBILE_DESC,"Makita U.S.A., Inc. Makita, Recip Saw, XRJ08Z, 18 V, 18V, Bare Tool",compose,0.88,,,,Identity line sized into the 60-80 character window.
5,XRJ08Z,SHORT_DESC,"Makita® XRJ08Z Recip Saw, 18 V, 18V, Bare Tool",compose,0.88,,,,Title formula: brand + series + model + item type + differentiators.
5,XRJ08Z,RETAIL_DESC,"Recip Saw, 18 V, 18V, Bare Tool",compose,0.85,,,,Shelf line: series + item type + differentiators.
5,XRJ08Z,LONG_DESC1,"Makita® Recip Saw, 18 V, 18V, Bare Tool",compose,0.85,,,,Every captured attribute rendered in specification order.
5,XRJ08Z,Product Name,Recip Saw,rule,0.55,ITM-LEX-01,input:Part_Desc,recip saw,Resolved against the item-type vocabulary induced from this catalogue (0 occurrences).
5,XRJ08Z,ATTRIBUTE_LABEL 1,Voltage Rating,rule,0.92,ELE-V-01,input:Part_Desc,18V,Voltage token; dual ratings kept as '12/20'.
5,XRJ08Z,ATTRIBUTE_VALUE 1,18,rule,0.92,ELE-V-01,input:Part_Desc,18V,Voltage token; dual ratings kept as '12/20'.
5,XRJ08Z,ATTRIBUTE_UOM 1,V,rule,0.92,ELE-V-01,input:Part_Desc,18V,Voltage token; dual ratings kept as '12/20'.
5,XRJ08Z,ATTRIBUTE_LABEL 2,Battery Platform,rule,0.92,TOL-PLT-01,input:Part_Desc,18V,Cordless battery platform; drives accessory compatibility.
5,XRJ08Z,ATTRIBUTE_VALUE 2,18V,rule,0.92,TOL-PLT-01,input:Part_Desc,18V,Cordless battery platform; drives accessory compatibility.
5,XRJ08Z,ATTRIBUTE_LABEL 3,Configuration,rule,0.92,PKG-CFG-01,input:Part_Desc,Bare Tool,How the item is sold; a kit and a bare tool are different SKUs.
5,XRJ08Z,ATTRIBUTE_VALUE 3,Bare Tool,rule,0.92,PKG-CFG-01,input:Part_Desc,Bare Tool,How the item is sold; a kit and a bare tool are different SKUs.
5,XRJ08Z,UNSPSC,27112100,inferred,0.72,TAX-104,registry:taxonomy,27112100,UNSPSC family for classpath Tools & Equipment>Power Tools>Saws.
6,0887-20,Mfg_Part_Num,0887-20,input,0.99,,,,Preserved verbatim from the source file.
6,0887-20,Part_Desc,0887-20 Milw M18 Brushless Precision Blower,input,0.99,,,,Preserved verbatim from the source file.
6,0887-20,Part_Manuf,Milwaukee Accessory (4031),input,0.99,,,,Preserved verbatim from the source file.
6,0887-20,SKU - MY_PART_NUMBER,X13942,input,0.99,,,,Preserved verbatim from the source file.
6,0887-20,MANUFACTURER_PART_NUMBER,0887-20,input,0.99,IDN-MPN-01,input:Mfg_Part_Num,0887-20,Supplied part number.
6,0887-20,BRAND_NAME,Milwaukee®,registry,0.88,IDN-BRD-01,input:Part_Desc,milw,Approved brand 'milw' found in the description.
6,0887-20,MANUFACTURER_NAME,Milwaukee Tool,registry,0.8624,IDN-MFR-01,input:Part_Desc,milw,Approved brand 'milw' found in the description.
6,0887-20,Classpath,Tools & Equipment>Dust Management>Vacuums & Extractors,rule,0.9,TAX-063,input:Part_Desc,Precision Blower,Matched taxonomy rule TAX-063 on 'Blower'.
6,0887-20,Dept,Tools,rule,0.9,TAX-063,input:Part_Desc,Precision Blower,Matched taxonomy rule TAX-063 on 'Blower'.
6,0887-20,Class,Power Tools,rule,0.9,TAX-063,input:Part_Desc,Precision Blower,Matched taxonomy rule TAX-063 on 'Blower'.
6,0887-20,Fine,Dust Extraction,rule,0.9,TAX-063,input:Part_Desc,Precision Blower,Matched taxonomy rule TAX-063 on 'Blower'.
6,0887-20,INVOICE_DESC,PRECISION BLOWER M18,compose,0.9,,,,Budget solver fitted 2 facts into 20/40 characters.
6,0887-20,MOBILE_DESC,"Milwaukee Tool Milwaukee, Precision Blower, 0887-20, M18",compose,0.88,,,,"Only 56 characters: every available fact is already in the line, so the shortfall is a limit of the source data, not of composition."
6,0887-20,SHORT_DESC,"Milwaukee® 0887-20 Precision Blower, M18",compose,0.88,,,,Title formula: brand + series + model + item type + differentiators.
6,0887-20,RETAIL_DESC,"Precision Blower, M18",compose,0.85,,,,Shelf line: series + item type + differentiators.
6,0887-20,LONG_DESC1,"Milwaukee® Precision Blower, M18",compose,0.85,,,,Every captured attribute rendered in specification order.
6,0887-20,Product Name,Precision Blower,rule,0.55,ITM-LEX-01,input:Part_Desc,precision blower,Resolved against the item-type vocabulary induced from this catalogue (0 occurrences).
6,0887-20,ATTRIBUTE_LABEL 1,Battery Platform,rule,0.92,TOL-PLT-01,input:Part_Desc,M18,Cordless battery platform; drives accessory compatibility.
6,0887-20,ATTRIBUTE_VALUE 1,M18,rule,0.92,TOL-PLT-01,input:Part_Desc,M18,Cordless battery platform; drives accessory compatibility.
6,0887-20,UNSPSC,47121701,inferred,0.72,TAX-063,registry:taxonomy,47121701,UNSPSC family for classpath Tools & Equipment>Dust Management>Vacuums & Extractors.
7,565374,Mfg_Part_Num,565374,input,0.99,,,,Preserved verbatim from the source file.
7,565374,Part_Desc,565374 75W Led A19 Med 27k 4pk,input,0.99,,,,Preserved verbatim from the source file.
7,565374,Part_Manuf,Phillips Lighting (5831),input,0.99,,,,Preserved verbatim from the source file.
7,565374,SKU - MY_PART_NUMBER,X70808,input,0.99,,,,Preserved verbatim from the source file.
7,565374,MANUFACTURER_PART_NUMBER,565374,input,0.99,IDN-MPN-01,input:Mfg_Part_Num,565374,Supplied part number.
7,565374,BRAND_NAME,Philips®,registry,0.9,IDN-BRD-01,input:Part_Manuf,Phillips Lighting (5831),Supplier string normalised to the approved manufacturer.
7,565374,MANUFACTURER_NAME,Signify Holding,registry,0.882,IDN-MFR-01,input:Part_Manuf,Phillips Lighting (5831),Supplier string normalised to the approved manufacturer.
7,565374,Classpath,Electrical>Lighting & Bulbs>Light Bulbs,rule,0.9,TAX-001,input:Part_Desc,Light Bulb,Matched taxonomy rule TAX-001 on 'Light Bulb'.
7,565374,Dept,Electrical,rule,0.9,TAX-001,input:Part_Desc,Light Bulb,Matched taxonomy rule TAX-001 on 'Light Bulb'.
7,565374,Class,Lighting,rule,0.9,TAX-001,input:Part_Desc,Light Bulb,Matched taxonomy rule TAX-001 on 'Light Bulb'.
7,565374,Fine,Light Bulbs,rule,0.9,TAX-001,input:Part_Desc,Light Bulb,Matched taxonomy rule TAX-001 on 'Light Bulb'.
7,565374,INVOICE_DESC,BULB 75W 2700K 4 MED A19 LED,compose,0.9,,,,Budget solver fitted 7 facts into 28/40 characters.
7,565374,MOBILE_DESC,"Signify Holding Philips, Light Bulb, 565374, 75 W, 2700 K, LED",compose,0.88,,,,Identity line sized into the 60-80 character window.
7,565374,SHORT_DESC,"Philips® 565374 Light Bulb, 75 W, 2700 K, LED, A19",compose,0.88,,,,Title formula: brand + series + model + item type + differentiators.
7,565374,RETAIL_DESC,"Light Bulb, 75 W, 2700 K, LED, A19",compose,0.85,,,,Shelf line: series + item type + differentiators.
7,565374,LONG_DESC1,"Philips® Light Bulb, 75 W, 2700 K, LED, A19, Medium Base, 4",compose,0.85,,,,Every captured attribute rendered in specification order.
7,565374,Product Name,Light Bulb,inferred,0.78,ITM-INF-LAMP,rule:ITM-INF-LAMP,"wattage, color_temperature","Item type inferred from co-occurring attributes (wattage, color_temperature); the description never names the item."
7,565374,ATTRIBUTE_LABEL 1,Wattage,rule,0.92,ELE-W-01,input:Part_Desc,75W,Wattage token.
7,565374,ATTRIBUTE_VALUE 1,75,rule,0.92,ELE-W-01,input:Part_Desc,75W,Wattage token.
7,565374,ATTRIBUTE_UOM 1,W,rule,0.92,ELE-W-01,input:Part_Desc,75W,Wattage token.
7,565374,ATTRIBUTE_LABEL 2,Color Temperature,rule,0.92,LMP-K-01,input:Part_Desc,27k,Lamp shorthand: two-digit K value means hundreds (50k = 5000 K).
7,565374,ATTRIBUTE_VALUE 2,2700,rule,0.92,LMP-K-01,input:Part_Desc,27k,Lamp shorthand: two-digit K value means hundreds (50k = 5000 K).
7,565374,ATTRIBUTE_UOM 2,K,rule,0.92,LMP-K-01,input:Part_Desc,27k,Lamp shorthand: two-digit K value means hundreds (50k = 5000 K).
7,565374,ATTRIBUTE_LABEL 3,Lamp Type,rule,0.9,LMP-TEC-01,input:Part_Desc,Led,Lamp technology captured as an attribute rather than an item type.
7,565374,ATTRIBUTE_VALUE 3,LED,rule,0.9,LMP-TEC-01,input:Part_Desc,Led,Lamp technology captured as an attribute rather than an item type.
7,565374,ATTRIBUTE_LABEL 4,Bulb Shape,rule,0.92,LMP-SHP-01,input:Part_Desc,A19,ANSI lamp shape designation.
7,565374,ATTRIBUTE_VALUE 4,A19,rule,0.92,LMP-SHP-01,input:Part_Desc,A19,ANSI lamp shape designation.
7,565374,ATTRIBUTE_LABEL 5,Base Type,rule,0.92,LMP-BAS-01,input:Part_Desc,Med,Lamp base designation.
7,565374,ATTRIBUTE_VALUE 5,Medium Base,rule,0.92,LMP-BAS-01,input:Part_Desc,Med,Lamp base designation.
7,565374,ATTRIBUTE_LABEL 6,Pack Quantity,rule,0.92,PKG-PK-01,input:Part_Desc,4pk,Multi-pack count.
7,565374,ATTRIBUTE_VALUE 6,4,rule,0.92,PKG-PK-01,input:Part_Desc,4pk,Multi-pack count.
7,565374,UNSPSC,39101600,inferred,0.72,TAX-001,registry:taxonomy,39101600,UNSPSC family for classpath Electrical>Lighting & Bulbs>Light Bulbs.
8,S3797,Mfg_Part_Num,S3797,input,0.99,,,,Preserved verbatim from the source file.
8,S3797,Part_Desc,S3797 4W Incan Cand 27K 2pk,input,0.99,,,,Preserved verbatim from the source file.
8,S3797,Part_Manuf,Satco Prod Inc (5573),input,0.99,,,,Preserved verbatim from the source file.
8,S3797,SKU - MY_PART_NUMBER,X67741,input,0.99,,,,Preserved verbatim from the source file.
8,S3797,MANUFACTURER_PART_NUMBER,S3797,input,0.99,IDN-MPN-01,input:Mfg_Part_Num,S3797,Supplied part number.
8,S3797,BRAND_NAME,Satco®,registry,0.9,IDN-BRD-01,input:Part_Manuf,Satco Prod Inc (5573),Supplier string normalised to the approved manufacturer.
8,S3797,MANUFACTURER_NAME,"Satco Products, Inc.",registry,0.882,IDN-MFR-01,input:Part_Manuf,Satco Prod Inc (5573),Supplier string normalised to the approved manufacturer.
8,S3797,Classpath,Electrical>Lighting & Bulbs>Light Bulbs,rule,0.9,TAX-001,input:Part_Desc,Light Bulb,Matched taxonomy rule TAX-001 on 'Light Bulb'.
8,S3797,Dept,Electrical,rule,0.9,TAX-001,input:Part_Desc,Light Bulb,Matched taxonomy rule TAX-001 on 'Light Bulb'.
8,S3797,Class,Lighting,rule,0.9,TAX-001,input:Part_Desc,Light Bulb,Matched taxonomy rule TAX-001 on 'Light Bulb'.
8,S3797,Fine,Light Bulbs,rule,0.9,TAX-001,input:Part_Desc,Light Bulb,Matched taxonomy rule TAX-001 on 'Light Bulb'.
8,S3797,INVOICE_DESC,BULB 4W 2700K 2 CAND,compose,0.9,,,,Budget solver fitted 5 facts into 20/40 characters.
8,S3797,MOBILE_DESC,"Satco Products, Inc. Satco, Light Bulb, S3797, 4 W, 2700 K, Candelabra Base",compose,0.88,,,,Identity line sized into the 60-80 character window.
8,S3797,SHORT_DESC,"Satco® S3797 Light Bulb, 4 W, 2700 K, Candelabra Base, 2",compose,0.88,,,,Title formula: brand + series + model + item type + differentiators.
8,S3797,RETAIL_DESC,"Light Bulb, 4 W, 2700 K, Candelabra Base, 2",compose,0.85,,,,Shelf line: series + item type + differentiators.
8,S3797,LONG_DESC1,"Satco® Light Bulb, 4 W, 2700 K, Candelabra Base, 2",compose,0.85,,,,Every captured attribute rendered in specification order.
